RT;Skipper;Last Update;Rank;DTF;DTU;BRG;Sail;State;Position;HDG;TWA;TWS;Speed;Factor;Foils;Options
#;DANA_C-RKN;2020-12-26 14:58:24 UTC;611115;15037.69;-4.4;234.4°;LJ (Auto);racing;38°44'23.54"S 77°31'43.70"E;301.024;44.980;11.0;-;-;no;heavy,light,reach,skin
#;Iroizo C-RKN;2020-12-26 10:00:00 UTC;611622;15038.15;-4122.8;233.1°;LJ (Auto);racing;38°37'21.33"S 77°31'03.34"E;293.950;43.878;17.1;10.48;1.0000;no;heavy,light,skin
#;GarosseC-RKN;2020-12-26 10:00:00 UTC;612118;15051.2;-4132.3;233.1°;Jib;racing;38°30'16.76"S 77°22'58.35"E;7.000;30.028;16.9;6.69;1.0000;no;reach,winch
#;EoliaMC-RKN;2020-12-26 08:16:15 UTC;613582;15096.11;-4161.4;233.7°;LG (Auto);racing;37°47'38.73"S 77°33'05.77"E;180.000;162.619;15.7;-;-;0%;Full Pack
#;SrevnelaC-RKN;2020-12-26 21:51:15 UTC;-;(6644.2);-4.9;245.8°;Jib;racing;38°43'50.10"S 77°30'34.19"E;30.000;65.744;6.9;-;-;?;?
