RT;Skipper;Last Update;Rank;DTF;DTU;BRG;Sail;State;Position;HDG;TWA;TWS;Speed;Factor;Foils;Options
#;AbsoluteDreamer;2020-12-26 10:00:00 UTC;-;(6350.4);3949.2;144.0°;C0;racing;50°08'19.56"S 51°45'58.89"W;8.329;105.441;6.7;8.36;1.0000;?;?
#;davor56_RKN;2020-12-26 10:00:00 UTC;-;(6163.2);4136.3;144.5°;C0 (Auto);racing;47°44'26.26"S 48°38'54.03"W;27.408;74.506;12.6;12.83;1.0089;15%;?
#;Picova-RKN;2020-12-26 10:00:00 UTC;-;(6317.6);3981.8;144.9°;LG (Auto);racing;50°06'11.06"S 50°16'39.85"W;38.892;126.408;9.5;10.50;1.0030;?;?
#;www.talmondais.com;2020-12-26 10:00:00 UTC;-;(6622.2);3681.6;137.8°;Jib (Auto);racing;50°30'28.65"S 62°53'15.49"W;83.263;82.133;24.5;18.52;1.0400;100%;?
#;Xolub RKN;2020-12-26 10:00:00 UTC;-;(6281.2);4018.2;144.9°;C0 (Auto);racing;49°36'36.45"S 49°43'32.58"W;16.683;89.596;11.2;12.52;1.0046;4%;?
#;Tovaritch_RKN;2020-12-26 10:00:00 UTC;134620;10742.35;20.7;54.8°;C0 (Auto);racing;53°24'25.44"S 174°30'16.68"W;86.765;127.053;6.7;7.45;1.0000;no;heavy,radio,reach,skin
#;jf44-RKN;2020-12-26 10:00:00 UTC;141846;10753.65;0.0;-°;LG (Auto);racing;53°36'24.54"S 174°58'39.69"W;95.553;133.622;7.5;8.00;1.0030;no;hull,light,radio,skin
#;DANA_C-RKN;2020-12-26 14:58:24 UTC;611115;15037.69;-4.4;234.4°;LJ (Auto);racing;38°44'23.54"S 77°31'43.70"E;301.024;44.980;11.0;-;-;no;heavy,light,reach,skin
#;Iroizo C-RKN;2020-12-26 10:00:00 UTC;611622;15038.15;-4122.8;233.1°;LJ (Auto);racing;38°37'21.33"S 77°31'03.34"E;293.950;43.878;17.1;10.48;1.0000;no;heavy,light,skin
#;GarosseC-RKN;2020-12-26 10:00:00 UTC;612118;15051.2;-4132.3;233.1°;Jib;racing;38°30'16.76"S 77°22'58.35"E;7.000;30.028;16.9;6.69;1.0000;no;reach,winch
#;EoliaMC-RKN;2020-12-26 08:16:15 UTC;613582;15096.11;-4161.4;233.7°;LG (Auto);racing;37°47'38.73"S 77°33'05.77"E;180.000;162.619;15.7;-;-;0%;Full Pack
#;bigouden wind RKN;2020-12-26 10:00:00 UTC;-;(10240.2);68.8;178.3°;C0 (Auto);racing;54°45'11.91"S 174°55'12.03"W;137.048;113.896;10.3;11.53;1.0000;?;?
#;Bourne34 RKN;2020-12-26 10:00:00 UTC;-;(6169.1);4130.3;144.9°;C0 (Auto);racing;47°59'52.09"S 48°17'38.11"W;38.883;83.397;13.5;14.15;1.0228;49%;?
#;City of le MANS RKN;2020-12-26 10:00:00 UTC;-;(6336.8);3962.7;144.7°;C0 (Auto);racing;50°17'45.58"S 50°44'09.85"W;12.000;107.370;8.6;10.21;1.0030;?;?
#;F1704 RKN;2020-12-26 10:00:00 UTC;-;(6165.7);4133.7;144.7°;C0 (Auto);racing;47°50'55.58"S 48°30'05.70"W;24.168;70.210;13.0;12.59;1.0033;1%;?
#;Fun lifestyles RKN;2020-12-26 10:00:00 UTC;-;(10264.7);-391.9;253.1°;HG (Auto);racing;55°01'33.72"S 174°04'45.72"E;73.852;139.546;21.0;19.28;1.0431;100%;?
#;Garrouille RKN;2020-12-26 10:00:00 UTC;-;(6179.5);4120.1;143.9°;C0 (Auto);racing;47°40'40.96"S 49°34'38.49"W;19.000;70.769;11.8;12.27;1.0035;1%;?
#;Iety_RKN;2020-12-26 10:00:00 UTC;-;(6273.1);4026.3;144.9°;C0 (Auto);racing;49°28'14.36"S 49°40'39.56"W;19.041;89.488;11.6;12.86;1.0077;12%;?
#;iroizo;2020-12-26 10:00:00 UTC;-;(9280.9);-1708.7;265.4°;C0;racing;46°53'40.88"S 140°56'54.53"E;117.995;122.125;26.3;21.74;1.0000;no;?
#;Malamoc;2020-12-26 10:00:00 UTC;-;(6178.1);4121.5;144.0°;C0 (Auto);racing;47°42'20.35"S 49°26'36.31"W;21.205;72.324;12.0;12.43;1.0048;5%;?
#;Malizia rkn;2020-12-26 10:00:00 UTC;-;(6171.7);4127.9;144.1°;C0 (Auto);racing;47°38'27.79"S 49°17'49.15"W;20.000;70.313;11.9;12.34;1.0032;1%;?
