RT;Skipper;Last Update;Rank;DTF;DTU;BRG;Sail;State;Position;HDG;TWA;TWS;Speed;Factor;Foils;Options
#;Matheja1664;2020-12-26 10:00:00 UTC;-;(10168.7);-159.5;185.6°;Spi (Auto);racing;56°15'03.46"S 175°26'54.25"W;60.064;142.316;12.5;11.14;1.0000;no;?
#;philou 33 RKN;2020-12-26 10:00:00 UTC;-;(6167.2);4132.4;144.1°;C0 (Auto);racing;47°34'38.22"S 49°14'21.98"W;20.291;69.648;11.7;12.21;1.0030;?;?
#;R3e Nice RKN;2020-12-26 10:00:00 UTC;-;(6382.1);3917.7;143.3°;C0 (Auto);racing;50°15'05.19"S 52°59'37.26"W;29.000;113.386;3.9;4.32;1.0030;?;?
#;RKobisN;2020-12-26 10:00:00 UTC;-;(10241.6);-579.1;263.8°;Spi;racing;53°33'02.98"S 168°43'48.47"E;90.000;156.746;18.9;13.06;1.0000;no;?
#;Varlingue RKN;2020-12-26 10:00:00 UTC;138088;10747.58;15.5;44.8°;Spi;racing;53°25'22.57"S 174°40'20.36"W;89.219;128.732;6.9;7.47;1.0000;no;reach,skin
#;KELPIEDSinglePlayer;2020-12-26 10:00:00 UTC;-;(6165.8);4133.6;144.7°;C0;racing;47°53'33.28"S 48°23'51.64"W;33.975;79.376;13.2;13.63;1.0194;41%;?
#;letango RKN;2020-12-26 10:00:00 UTC;-;(6288.0);4011.4;144.8°;C0 (Auto);racing;49°40'08.83"S 49°54'42.25"W;24.000;100.244;10.7;12.16;1.0030;?;?
#;Lothe60RKN;2020-12-26 10:00:00 UTC;-;(10007.7);-861.8;260.5°;HG;racing;53°31'25.16"S 160°43'12.44"E;74.597;132.752;19.1;18.72;1.0000;no;?
#;mezua34;2020-12-26 10:00:00 UTC;-;(9698.9);699.6;98.4°;Jib;racing;53°41'05.46"S 155°14'39.96"W;342.263;62.157;10.2;10.72;1.0000;?;?
#;PostR 2cvFurtive RKN;2020-12-26 10:00:00 UTC;-;(6156.9);4143.6;141.7°;C0 (Auto);racing;46°17'24.17"S 51°46'51.09"W;38.000;67.845;9.5;10.47;1.0030;?;?
#;RafaleRKN;2020-12-26 10:00:00 UTC;-;(10230.3);79.2;177.2°;Spi;racing;54°55'29.02"S 174°51'49.54"W;144.000;108.906;10.6;11.44;1.0000;?;?
#;rapido79 RKN;2020-12-26 10:00:00 UTC;-;(6168.3);4131.4;143.8°;C0 (Auto);racing;47°28'20.34"S 49°32'42.09"W;30.767;80.307;11.3;12.35;1.0054;6%;?
#;Rcfan77;2020-12-26 10:00:00 UTC;-;(10289.3);-428.3;259.4°;Spi (Auto);racing;54°18'58.82"S 172°55'57.05"E;141.000;151.881;19.7;14.79;1.0030;no;?
#;Silwo RKN;2020-12-26 10:00:00 UTC;-;(6271.2);4028.3;144.8°;C0 (Auto);racing;49°26'08.93"S 49°40'14.89"W;19.365;89.645;11.6;12.88;1.0079;12%;?
#;SrevnelaC-RKN;2020-12-26 21:51:15 UTC;-;(6644.2);-4.9;245.8°;Jib;racing;38°43'50.10"S 77°30'34.19"E;30.000;65.744;6.9;-;-;?;?
#;thechmot.RKN;2020-12-26 10:00:00 UTC;-;(6169.0);4130.5;144.4°;C0 (Auto);racing;47°44'49.74"S 48°54'38.61"W;30.730;80.028;12.6;13.24;1.0157;32%;?
#;Barquasse RKN;2020-12-26 10:00:00 UTC;-;(6549.3);3753.0;139.2°;Jib (Auto);racing;50°20'27.29"S 60°11'33.78"W;53.857;45.779;17.1;10.51;1.0030;?;?
#;Chamino;2020-12-26 10:00:00 UTC;-;(6191.5);4108.2;143.8°;C0 (Auto);racing;47°48'25.61"S 49°49'57.15"W;6.230;60.206;11.8;11.71;1.0030;?;?
#;Celemans RKN;2020-12-26 10:00:00 UTC;-;(6167.0);4132.8;143.4°;C0 (Auto);racing;47°14'28.56"S 50°02'22.42"W;29.433;76.545;10.6;11.82;1.0030;?;?
#;domainecuris.com;2020-12-26 10:00:00 UTC;-;(6327.0);3972.4;144.8°;C0 (Auto);racing;50°11'03.73"S 50°32'13.03"W;9.524;100.924;9.0;10.61;1.0030;?;?
#;G1vaguealameRKN;2020-12-26 10:00:00 UTC;-;(6268.6);4030.8;144.8°;C0 (Auto);racing;49°22'33.26"S 49°41'49.44"W;17.092;86.748;11.7;12.88;1.0084;13%;?
#;GazelleDesNeiges06;2020-12-26 10:00:00 UTC;-;(6544.9);3755.7;141.6°;LJ (Auto);racing;51°33'27.58"S 57°30'11.67"W;32.653;22.659;12.2;5.00;1.0030;?;?
#;jazz69rkn;2020-12-26 10:00:00 UTC;-;(6542.7);3757.3;142.6°;C0;racing;52°05'09.85"S 56°15'20.80"W;45.331;58.425;8.2;8.41;1.0030;?;?
#;kerhilloRKN;2020-12-26 10:00:00 UTC;-;(6175.6);4124.0;143.9°;C0 (Auto);racing;47°37'50.11"S 49°30'28.48"W;26.945;77.639;11.7;12.50;1.0075;11%;?
#;MLS RKN;2020-12-26 10:00:00 UTC;-;(6171.4);4128.1;144.3°;C0;racing;47°44'34.89"S 49°02'02.92"W;29.630;79.667;12.5;13.14;1.0145;29%;?
#;MoutonVolantRKN;2020-12-26 10:00:00 UTC;-;(6170.1);4129.4;144.5°;C0 (Auto);racing;47°50'00.33"S 48°44'55.66"W;22.315;70.585;12.9;12.61;1.0039;2%;?
#;Onyx Star;2020-12-26 10:00:00 UTC;-;(6175.6);4124.1;143.9°;C0 (Auto);racing;47°36'40.13"S 49°33'16.00"W;18.963;69.968;11.6;12.18;1.0030;?;?
#;PeliouRKN;2020-12-26 10:00:00 UTC;-;(7979.2);2354.5;122.7°;C0 (Auto);racing;55°42'30.55"S 104°05'16.83"W;99.983;111.415;16.4;17.58;1.0000;no;?
#;Raid2cvTeam-RKN;2020-12-26 10:00:00 UTC;-;(10303.3);11.6;35.4°;Spi (Auto);racing;53°26'57.99"S 174°47'23.31"W;90.902;130.313;7.0;7.48;1.0000;?;?
#;RKN Major Tom;2020-12-26 10:00:00 UTC;-;(9495.9);965.0;88.5°;Stay (Auto);racing;50°17'23.65"S 149°17'19.14"W;70.078;45.398;23.5;11.24;1.0030;?;?
#;VICACAPOURSO;2020-12-26 10:00:00 UTC;-;(6178.6);4120.9;144.6°;C0;racing;48°00'30.62"S 48°43'32.79"W;30.879;79.975;13.3;13.83;1.0218;47%;?
