RT;Skipper;Last Update;Rank;DTF;DTU;BRG;Sail;State;Position;HDG;TWA;TWS;Speed;Factor;Foils;Options
#;DANA_C-RKN;2020-12-21 12:04:10 UTC;-;(6860.5);19.5;357.5°;LJ;racing;49°22'13.13"S 70°14'51.67"E;110.000;145.977;13.6;-;-;?;?
#;EoliaMC-RKN;2020-12-21 16:40:00 UTC;-;(6868.7);16.1;22.0°;LJ (Auto);racing;49°26'42.98"S 70°25'29.86"E;321.000;49.307;13.8;-;-;?;?
#;GarosseC-RKN;2020-12-21 18:00:00 UTC;-;(6904.6);34.7;103.4°;Jib (Auto);racing;49°49'31.55"S 71°08'31.66"E;302.000;41.398;17.0;9.70;1.0000;?;?
#;SrevnelaC-RKN;2020-12-21 14:01:00 UTC;-;(6859.1);20.5;354.6°;Jib;racing;49°21'18.80"S 70°13'12.95"E;345.000;42.324;13.2;-;-;?;?
#;Iroizo C-RKN;2020-12-21 18:00:00 UTC;524238;15103.36;0.0;-°;LG (Auto);racing;49°41'41.28"S 70°16'11.00"E;40.000;145.393;15.0;13.66;1.0000;no;heavy,light,skin
