RT;Skipper;Last Update;Rank;DTF;DTU;BRG;Sail;State;Position;HDG;TWA;TWS;Speed;Factor;Foils;Options
#;EoliaMC-RKN;2020-12-23 08:10:00 UTC;547537;15121.03;14.0;344.8°;C0 (Auto);racing;46°07'17.01"S 71°04'12.73"E;24.000;90.239;13.8;14.84;1.0253;56%;Full Pack
#;DANA_C-RKN;2020-12-23 08:10:00 UTC;548978;15145.43;-133.2;207.5°;C0 (Auto);racing;48°18'23.54"S 69°37'02.79"E;33.166;106.162;16.8;17.81;1.0000;no;heavy,light,reach,skin
#;GarosseC-RKN;2020-12-23 08:10:00 UTC;-;(6746.4);52.2;29.3°;C0;racing;45°35'14.90"S 71°45'59.21"E;36.000;100.521;16.9;17.67;1.0000;no;?
#;SrevnelaC-RKN;2020-12-23 08:10:00 UTC;546616;15106.18;10.9;60.1°;Jib;racing;46°15'21.87"S 71°23'11.60"E;33.000;98.312;14.3;14.68;1.0000;no;skin
#;Iroizo C-RKN;2020-12-23 08:10:00 UTC;547074;15113.81;0.0;-°;Jib;racing;46°20'49.62"S 71°09'30.15"E;33.846;98.683;14.2;14.70;1.0000;no;heavy,light,skin
