RT;Skipper;Last Update;Rank;DTF;DTU;BRG;Sail;State;Position;HDG;TWA;TWS;Speed;Factor;Foils;Options
#;DANA_C-RKN;2020-12-22 22:00:00 UTC;534581;15097.01;-76.8;118.4°;LJ (Auto);racing;49°05'33.29"S 70°36'30.43"E;336.000;44.621;14.1;5.12;0.5000;no;heavy,light,reach,skin
#;EoliaMC-RKN;2020-12-22 22:00:00 UTC;540802;15169.58;4.6;349.0°;C0 (Auto);racing;48°25'18.09"S 68°51'57.26"E;36.211;110.006;17.2;19.04;1.0431;100%;Full Pack
#;GarosseC-RKN;2020-12-22 22:00:00 UTC;537703;15166.41;49.1;36.5°;C0;racing;47°50'14.70"S 69°36'45.85"E;33.000;101.925;16.0;17.10;1.0000;no;reach,winch
#;SrevnelaC-RKN;2020-12-22 22:00:00 UTC;540197;15164.44;18.1;73.3°;Jib;racing;48°24'34.62"S 69°19'21.46"E;33.000;106.827;16.6;17.15;1.0000;no;skin
