RT;Skipper;Last Update;Rank;DTF;DTU;BRG;Sail;State;Position;HDG;TWA;TWS;Speed;Factor;Foils;Options
#;RafaleRKN;2020-12-25 20:30:00 UTC;-;(10263.0);-76.5;195.0°;Spi;racing;55°12'30.37"S 178°33'33.20"W;90.000;130.724;11.4;11.87;1.0000;no;?
#;thechmot.RKN;2020-12-25 20:30:00 UTC;-;(6349.7);3994.4;145.0°;LJ (Auto);racing;49°45'59.65"S 52°36'28.93"W;47.079;59.615;15.7;12.20;1.0030;?;?
#;Barquasse RKN;2020-12-25 20:30:00 UTC;-;(6644.6);3709.6;140.6°;C0 (Auto);racing;51°28'46.69"S 61°57'50.31"W;354.114;88.750;5.4;6.83;1.0030;?;?
#;Chamino;2020-12-25 20:30:00 UTC;-;(6385.9);3959.6;144.3°;C0 (Auto);racing;49°56'06.90"S 53°53'30.95"W;61.882;79.859;18.6;16.88;1.0426;99%;?
#;jf44-RKN;2020-12-25 20:30:00 UTC;137089;10844.18;0.0;-°;LG;racing;53°58'43.96"S 177°58'48.25"W;80.814;130.886;9.5;10.38;1.0030;no;hull,light,radio,skin
#;Celemans RKN;2020-12-25 20:30:00 UTC;-;(6353.1);3993.2;143.9°;C0 (Auto);racing;49°17'03.98"S 53°51'55.38"W;54.144;71.574;17.3;14.75;1.0093;16%;?
#;domainecuris.com;2020-12-25 20:30:00 UTC;-;(6490.9);3851.1;145.9°;C0 (Auto);racing;52°15'24.23"S 53°26'21.02"W;60.505;86.926;18.4;17.91;1.0431;100%;?
#;EoliaMC-RKN;2020-12-25 17:31:49 UTC;-;(6645.6);-4017.3;235.2°;C0 (Auto);racing;38°44'28.33"S 77°32'20.20"E;18.676;73.515;6.8;-;-;?;?
#;G1vaguealameRKN;2020-12-25 20:30:00 UTC;-;(6466.6);3875.4;146.0°;C0 (Auto);racing;51°55'31.50"S 53°03'31.39"W;49.101;70.344;18.3;14.97;1.0044;3%;?
#;GazelleDesNeiges06;2020-12-25 20:30:00 UTC;-;(6631.7);3716.2;143.1°;C0;racing;52°42'28.50"S 58°55'49.83"W;56.000;156.339;13.6;8.17;1.0237;52%;?
#;jazz69rkn;2020-12-25 20:30:00 UTC;-;(6636.2);3710.0;143.9°;LG;racing;53°11'13.94"S 58°06'52.04"W;45.968;142.551;13.5;13.17;1.0234;51%;?
#;kerhilloRKN;2020-12-25 20:30:00 UTC;-;(6355.3);3989.1;144.8°;LJ (Auto);racing;49°46'04.51"S 52°52'02.35"W;46.986;61.052;16.3;12.61;1.0044;?;?
#;MLS RKN;2020-12-25 20:30:00 UTC;-;(6355.5);3989.0;144.8°;C0;racing;49°45'22.29"S 52°54'05.45"W;57.432;71.655;16.4;14.24;1.0096;17%;?
#;MoutonVolantRKN;2020-12-25 20:30:00 UTC;-;(6349.7);3994.3;145.0°;C0 (Auto);racing;49°47'03.43"S 52°34'03.08"W;52.081;64.733;15.7;12.87;1.0030;?;?
#;Onyx Star;2020-12-25 20:30:00 UTC;-;(6366.2);3979.6;144.2°;C0 (Auto);racing;49°35'45.12"S 53°45'37.79"W;63.196;80.483;17.7;16.75;1.0431;100%;?
#;PeliouRKN;2020-12-25 20:30:00 UTC;-;(8207.1);2221.9;119.2°;C0 (Auto);racing;54°56'22.15"S 111°46'02.50"W;99.983;106.583;23.9;20.55;1.0000;no;?
#;Raid2cvTeam-RKN;2020-12-25 20:30:00 UTC;-;(10313.1);31.3;96.8°;Spi (Auto);racing;54°02'14.30"S 177°05'50.89"W;147.000;149.802;6.4;4.70;1.0000;?;?
#;RKN Major Tom;2020-12-25 20:30:00 UTC;-;(9605.4);937.4;92.4°;Jib (Auto);racing;51°45'55.82"S 152°12'28.74"W;35.860;45.398;14.9;10.11;1.0030;?;?
#;VICACAPOURSO;2020-12-25 20:30:00 UTC;-;(6363.3);3980.5;145.1°;C0;racing;50°01'53.89"S 52°37'32.63"W;53.333;67.018;16.1;13.33;1.0030;?;?
