RT;Skipper;Last Update;Rank;DTF;DTU;BRG;Sail;State;Position;HDG;TWA;TWS;Speed;Factor;Foils;Options
#;DANA_C-RKN;2020-12-22 12:04:10 UTC;-;(6860.5);76.8;76.4°;LJ;racing;49°22'13.13"S 70°14'51.67"E;110.000;145.977;13.6;-;-;?;?
#;EoliaMC-RKN;2020-12-22 17:20:00 UTC;-;(6817.1);69.5;42.2°;Stay (Auto);racing;48°49'23.29"S 69°31'06.58"E;251.000;44.068;19.3;11.27;1.0030;?;?
#;GarosseC-RKN;2020-12-22 17:20:00 UTC;-;(6798.8);72.0;27.5°;Jib;racing;48°37'09.30"S 69°10'24.01"E;339.000;46.447;20.9;11.45;1.0000;?;?
#;SrevnelaC-RKN;2020-12-22 17:20:00 UTC;537793;15171.04;26.4;25.1°;Jib;racing;49°17'16.13"S 68°37'23.23"E;358.000;65.969;20.6;14.10;1.0000;no;skin
#;Iroizo C-RKN;2020-12-22 17:20:00 UTC;538309;15177.12;0.0;-°;Jib (Auto);racing;49°41'14.19"S 68°20'10.86"E;28.000;92.118;19.7;17.57;1.0000;no;heavy,light,skin
