RT;Skipper;Last Update;Rank;DTF;DTU;BRG;Sail;State;Position;HDG;TWA;TWS;Speed;Factor;Foils;Options
#;DANA_C-RKN;2020-12-23 19:50:00 UTC;-;(6752.7);-158.8;214.5°;C0 (Auto);racing;45°40'36.28"S 71°51'16.77"E;29.166;109.081;16.4;17.54;1.0000;no;?
#;EoliaMC-RKN;2020-12-23 19:50:00 UTC;-;(6725.7);29.5;39.0°;C0 (Auto);racing;43°07'55.65"S 74°25'23.51"E;46.000;109.637;20.6;21.04;1.0431;100%;?
#;GarosseC-RKN;2020-12-23 19:50:00 UTC;-;(6714.8);67.9;32.7°;C0;racing;42°33'33.26"S 74°49'47.33"E;36.000;98.737;19.1;18.80;1.0000;no;?
#;jf44-RKN;2020-12-23 19:50:00 UTC;-;(10086.3);-3360.1;134.9°;LG (Auto);racing;54°03'44.39"S 163°46'24.56"E;57.758;135.650;9.1;9.39;1.0030;?;?
#;SrevnelaC-RKN;2020-12-23 19:50:00 UTC;-;(6720.1);10.2;350.8°;Jib;racing;43°20'46.29"S 73°57'45.08"E;31.000;95.792;21.3;18.49;1.0000;no;?
#;Iroizo C-RKN;2020-12-23 19:50:00 UTC;554407;15049.81;0.0;-°;Jib;racing;43°30'52.87"S 73°59'59.74"E;33.318;98.683;21.6;18.84;1.0000;no;heavy,light,skin
