RT;Skipper;Last Update;Rank;DTF;DTU;BRG;Sail;State;Position;HDG;TWA;TWS;Speed;Factor;Foils;Options
#;DANA_C-RKN;2020-12-21 12:00:00 UTC;-;(6860.4);63.9;73.5°;LJ;racing;49°22'10.39"S 70°14'40.11"E;110.000;144.131;13.5;2.12;1.0000;no;?
#;EoliaMC-RKN;2020-12-21 12:00:00 UTC;-;(6897.0);124.5;77.8°;C0 (Auto);racing;49°12'10.28"S 71°46'49.81"E;256.000;94.840;18.1;18.83;1.0431;100%;?
#;GarosseC-RKN;2020-12-21 12:00:00 UTC;-;(6945.6);166.5;89.3°;C0 (Auto);racing;49°34'12.45"S 72°57'19.41"E;271.000;84.020;19.1;16.79;1.0000;no;?
#;SrevnelaC-RKN;2020-12-21 08:45:00 UTC;-;(6858.3);62.2;72.1°;Jib;racing;49°21'18.50"S 70°11'21.14"E;334.000;22.854;15.7;-;-;?;?
#;Iroizo C-RKN;2020-12-21 12:00:00 UTC;526693;15164.25;0.0;-°;LG (Auto);racing;49°41'00.18"S 68°40'32.51"E;151.687;149.704;16.0;13.40;1.0000;no;heavy,light,skin
